Number,Crime,Address,Time,url
12-063177,Attempt Pick-Up,400 block of Lindley Ave,1706,pages/view.aspx?publish_date=20120307
12-063114,Attempt Pick-Up,100 block of Sconce Way,1618,pages/view.aspx?publish_date=20120307
12-063443,Traffic Collision,100 block of El Camino Ave,2314,pages/view.aspx?publish_date=20120307
12-062829,Traffic Collision,16th St/J St,1216,pages/view.aspx?publish_date=20120307
12-063227,Welfare Check,5100 block of F St,1751,pages/view.aspx?publish_date=20120307
12-063233,Assault,1400 block of 30th St,1802,pages/view.aspx?publish_date=20120307
12-063476,Burglary,7100 block of Fruitridge Rd,20,pages/view.aspx?publish_date=20120307
12-063392,Domestic Violence,6200 block of Summertide Way,2147,pages/view.aspx?publish_date=20120307
12-063372,Burglary Report,8200 block of Sunny Creek Way,2106,pages/view.aspx?publish_date=20120307
12-063771,Burglary,3300 block of Hornsea Way,1133,pages/view.aspx?publish_date=20120308
12-063731,Suspicious Package,3200 block of Truxel Rd,1048,pages/view.aspx?publish_date=20120308
12-063738,Suspicious Vehicle,Garden Hwy / Truxel Rd,1057,pages/view.aspx?publish_date=20120308
12-064203,Home Invasion,1500 block of Waterwheel Dr,1853,pages/view.aspx?publish_date=20120308
12-064181,Shooting,2500 block of Taft St,1820,pages/view.aspx?publish_date=20120308
12-064364,Attempt Pick-Up,2000 block of Auburn Blvd,2300,pages/view.aspx?publish_date=20120308
12-064168,Stolen Property,Pantano Dr / Pradera Mesa Dr,1810,pages/view.aspx?publish_date=20120308
12-064277,Suspicious Vehicle,Portal Park,2026,pages/view.aspx?publish_date=20120308
12-064060,Suspicious Subject,8th St / K St,1618,pages/view.aspx?publish_date=20120308
12-064135,Suspicious Subject,2700 block of T St,1724,pages/view.aspx?publish_date=20120308
12-064303,Robbery,25th St / J St,2138,pages/view.aspx?publish_date=20120308
12-064388,Traffic Stop,16th Ave / 36th St,2357,pages/view.aspx?publish_date=20120308
12-063027,Subject Stop,5400 block of 28th St,1459,pages/view.aspx?publish_date=20120308
12-062907,Attempt Pick-Up,2500 block of Cadjew Ave,1331,pages/view.aspx?publish_date=20120308
12-062989,Suspicious Circumstance,6600 block of 30th St,1432,pages/view.aspx?publish_date=20120308
12-064159,Suspicious Subject,24th St / Fruitridge Rd,1757,pages/view.aspx?publish_date=20120308
12-064731,Traffic Stop,Connie Dr / Naomi Way,1029,pages/view.aspx?publish_date=20120309
12-064684,Suspicious Circumstance,5300 block of Calabria Way,937,pages/view.aspx?publish_date=20120309
12-065260,Shooting,500 block of El Camino Ave,1835,pages/view.aspx?publish_date=20120309
12-065373,Traffic Stop,Los Robles Blvd / High St,2104,pages/view.aspx?publish_date=20120309
12-065230,Violent Subject,1100 block of Acacia Ave,1755,pages/view.aspx?publish_date=20120309
12-064541,Burglary,5000 block of J St,707,pages/view.aspx?publish_date=20120309
12-065369,Warrant,7800 block of College Town Dr,2058,pages/view.aspx?publish_date=20120309
12-065377,Robbery,1700 block of T St,2108,pages/view.aspx?publish_date=20120309
12-065425,Assault,Front St / L St,2219,pages/view.aspx?publish_date=20120309
12-065025,Robbery,36th Ave / 59th St,1506,pages/view.aspx?publish_date=20120309
12-065554,Suspicious Subject,5200 block of Fruitridge Rd,153,pages/view.aspx?publish_date=20120309
12-065326,Robbery,300 block of U St,1956,pages/view.aspx?publish_date=20120309
12-065220,Intoxicated Subject,1200 block of 25th St,1747,pages/view.aspx?publish_date=20120309
12-063569,Burglary,3900 block of Mack Rd,644,pages/view.aspx?publish_date=20120309
12-065141,Shooting,400 block of River Bend Cir,1641,pages/view.aspx?publish_date=20120309
12-065058,Casualty,100 block of Massie Ct,1535,pages/view.aspx?publish_date=20120309
12-065359,Mental Subject,6600 block of Bruceville Rd,2044,pages/view.aspx?publish_date=20120309
12-065413,Shooting,7600 block of Franklin Blvd,2156,pages/view.aspx?publish_date=20120309
12-065747,Attempted Bank Robbery,1700 block of Challenge Way,945,pages/view.aspx?publish_date=20120310
12-065796,Home Invasion,3300 block of Arena Blvd,1047,pages/view.aspx?publish_date=20120310
12-065792,Attempt Pick-Up,1900 block of South Ave,1045,pages/view.aspx?publish_date=20120310
12-066024,Shooting Report,3200 block of Northview Dr,1517,pages/view.aspx?publish_date=20120310
12-065733,Robbery,100 block of Bicentennial Cir,928,pages/view.aspx?publish_date=20120310
12-065671,Missing Person,1600 block of 19th St,815,pages/view.aspx?publish_date=20120310
12-066151,Burglary,200 block of 20th St,1653,pages/view.aspx?publish_date=20120310
12-066182,Child Abuse,400 block of Richards Blvd,1735,pages/view.aspx?publish_date=20120310
12-066334,Disturbance,100 block of Howe Ave,2039,pages/view.aspx?publish_date=20120310
12-066412,Suspicious Subject,6400 block of 21st Ave,2204,pages/view.aspx?publish_date=20120310
12-066423,Subject Stop,Stockton Blvd / Jansen Dr,2214,pages/view.aspx?publish_date=20120310
12-066579,Warrant Arrest,14th Ave / 43rd St,111,pages/view.aspx?publish_date=20120310
12-065925,Burglary Report,7300 block of Idle Wild St,1334,pages/view.aspx?publish_date=20120310
12-066387,Stolen Vehicle,26th Ave / 24th St,2132,pages/view.aspx?publish_date=20120310
12-066232,Warrant Arrest,3400 block of Starstone Way,1827,pages/view.aspx?publish_date=20120310
12-066346,Trespassing,Mack Rd / Center Pkwy,2050,pages/view.aspx?publish_date=20120310
12-066365,Medical Aid,Valley Hi Dr / Franklin Blvd,2055,pages/view.aspx?publish_date=20120310
12-066466,Shooting,5900 block of Valley Vale Way,2256,pages/view.aspx?publish_date=20120310
12-066529,Traffic Stop,Arroyo Vista Dr / Narrowgauge Way,2356,pages/view.aspx?publish_date=20120310
12-066615,Suspicious Subject,2700 block of Marty Way,200,pages/view.aspx?publish_date=20120310
12-066669,Welfare Check,2600 block of River Plaza Dr,411,pages/view.aspx?publish_date=20120311
12-066846,Wanted Subject,500 block of El Camino Ave,1110,pages/view.aspx?publish_date=20120311
12-067637,Domestic Dispute,200 block of Martis Valley Cir,330,pages/view.aspx?publish_date=20120311
12-066733,Stolen Vehicle,Wilkinson St / 32nd Ave,835,pages/view.aspx?publish_date=20120311
12-066884,Incomplete Calls,1300 block of E St,1226,pages/view.aspx?publish_date=20120311
12-067039,Assault,400 block of Jibboom St,1549,pages/view.aspx?publish_date=20120311
12-067485,Traffic Stop,J St/12th St,2311,pages/view.aspx?publish_date=20120311
12-067535,Assault,28th St / L St,7,pages/view.aspx?publish_date=20120311
12-067557,Robbery,20th St / K St,28,pages/view.aspx?publish_date=20120311
12-067224,Indecent Exposure,7500 block of Thorpe Way,1835,pages/view.aspx?publish_date=20120311
12-067554,Assault,7500 block of Pinon Way,26,pages/view.aspx?publish_date=20120311
12-068052,Suspicious Vehicle,Del Paso Blvd / El Camino Ave,1620,pages/view.aspx?publish_date=20120312
12-068107,Stolen Vehicle,2200 block 0f Edison Ave,1722,pages/view.aspx?publish_date=20120312
12-068190,Suspicious Subject,4700  block of Westlake Pkwy,1851,pages/view.aspx?publish_date=20120312
12-068298,Loud Noise,Edgewater Rd / Redondo Ave,2118,pages/view.aspx?publish_date=20120312
12-068372,Suspicious Vehicle,1500 block of W El Camino Ave,2313,pages/view.aspx?publish_date=20120312
12-067695,Wanted Subject,3400 block of 25th Ave,706,pages/view.aspx?publish_date=20120312
12-067716,Subject Stop,200 block of Jibboom St,810,pages/view.aspx?publish_date=20120312
12-067726,Suspicious Subject,4400 block of 59th St,835,pages/view.aspx?publish_date=20120312
12-068014,Suspicious Vehicle,3400 block of 38th St,1531,pages/view.aspx?publish_date=20120312
12-068068,Theft,100 block of 28th St,1635,pages/view.aspx?publish_date=20120312
12-068163,Subject Stop,48th St / Perry Ave,1827,pages/view.aspx?publish_date=20120312
12-068195,Subject Stop,14th Ave / Power Inn Rd,1903,pages/view.aspx?publish_date=20120312
12-068430,Burglary,2400 block of K St,125,pages/view.aspx?publish_date=20120312
12-068368,Robbery,7800 block of 21st Ave,2309,pages/view.aspx?publish_date=20120312
12-068435,Subject Stop,Stockton Blvd / Thurman Way,142,pages/view.aspx?publish_date=20120312
12-068158,Domestic Dispute,5800 block of Belleau Wood Ln,1822,pages/view.aspx?publish_date=20120312
12-068318,Attempted Robbery,Meadowview Rd/Tamoshanter,2144,pages/view.aspx?publish_date=20120312
12-067554,Shooting,5100 block of Village Wood,26,pages/view.aspx?publish_date=20120312
12-068566,Attempt Burglary,100 block of Bill Bean Cir,925,pages/view.aspx?publish_date=20120313
12-068643,Attempt Burglary,200 block of Groth Cir,1112,pages/view.aspx?publish_date=20120313
12-068851,Suspicious Activity,2000 block of Roma Ct,1537,pages/view.aspx?publish_date=20120313
12-068952,Forgery,3600 block of Truxel Rd,1746,pages/view.aspx?publish_date=20120313
12-069015,Theft,1500 block of W El Camino Ave,1857,pages/view.aspx?publish_date=20120313
12-069187,Casualty,400 block of Kesner Ave,2258,pages/view.aspx?publish_date=20120313
12-069254,Stolen Vehicle,1600 block of Scarlet Ash Ave,106,pages/view.aspx?publish_date=20120313
12-068769,,2000 block of N Bend Dr,1354,pages/view.aspx?publish_date=20120313
12-068733,Family Disturbance,4900 block of Kokomo Dr,1324,pages/view.aspx?publish_date=20120313
12-068922,Traffic Stop,23rd St/Mascot Ave,1708,pages/view.aspx?publish_date=20120313
12-068631,Burglary,100 block of Howe Ave,1057,pages/view.aspx?publish_date=20120313
12-068756,Suspicious Subject,1200 block of 43rd St,1346,pages/view.aspx?publish_date=20120313
12-068560,Disturbance,600 block of 8th St,910,pages/view.aspx?publish_date=20120313
12-068984,Bicycle Stop,Power Inn Rd / Butte Ave,1824,pages/view.aspx?publish_date=20120313
12-069270,Theft,6700 block of Stockton Blvd,202,pages/view.aspx?publish_date=20120313
12-069300,Suspicious Subject,3300 block of 65th St,425,pages/view.aspx?publish_date=20120313
12-068681,Burglary,Moorgate Ct/Valley Hi Dr,1212,pages/view.aspx?publish_date=20120313
12-068609,Robbery,5600 block of Freeport Blvd,1019,pages/view.aspx?publish_date=20120313
12-068898,Burglary,7700 block of Teekay Way,1637,pages/view.aspx?publish_date=20120313
12-069123,Domestic Disturbance,8200 block of Holly Jill Way,2147,pages/view.aspx?publish_date=20120313
12-069192,Homicide,7600 block of Center Pkwy,2301,pages/view.aspx?publish_date=20120313
12-069366,Stolen Vehicle,1600 block of Arden Way,749,pages/view.aspx?publish_date=20120314
12-069369,Outside Agency Assist,El Camino Ave / Fulton Ave,754,pages/view.aspx?publish_date=20120314
12-070012,Assault,1600 block of Exposition Pkwy,2024,pages/view.aspx?publish_date=20120314
12-070130,Shooting,2500 block of Connie Dr,18,pages/view.aspx?publish_date=20120314
12-070157,Assault,Railroad Dr / Del Paso Blvd,120,pages/view.aspx?publish_date=20120314
12-069619,Accident,Stockton Blvd / Lawrence Dr,1311,pages/view.aspx?publish_date=20120314
12-069768,Assault,3500 block of 12th Ave,1541,pages/view.aspx?publish_date=20120314
12-069963,Assault,5600 block of 27th Ave,1904,pages/view.aspx?publish_date=20120314
12-069940,Robbery,8th St / T St,1831,pages/view.aspx?publish_date=20120314
12-070155,Stolen Vehicle,65th Street Expy / Elder Creek Rd,112,pages/view.aspx?publish_date=20120314
12-069333,Burglary,2700 block of 24th St,655,pages/view.aspx?publish_date=20120314
12-069435,Theft,1400 block of Sutterville Rd,916,pages/view.aspx?publish_date=20120314
12-069942,Robbery,Center Pkwy/Bamford,1833,pages/view.aspx?publish_date=20120314
12-069728,Disturbance,7300 block of Gloria Dr,1505,pages/view.aspx?publish_date=20120314
12-070157,Wanted Subject,Railroad Dr / Del Paso Blvd,120,pages/view.aspx?publish_date=20120315
12-070866,Suspicious Vehicle,Clay St / Glenrose Ave,1933,pages/view.aspx?publish_date=20120315
12-070435,Burglary,700 block of 21st St,1147,pages/view.aspx?publish_date=20120315
12-070481,Accident,12th St / C St,1239,pages/view.aspx?publish_date=20120315
12-070967,Subject Stop,13th St/I St,2131,pages/view.aspx?publish_date=20120315
12-070926,Subject Stop,1400 block of 30th St,2041,pages/view.aspx?publish_date=20120315
12-071028,Subject Stop,4000 block of 26th Ave,2327,pages/view.aspx?publish_date=20120315
12-070193,Burglary,2300 block of Florin Rd,335,pages/view.aspx?publish_date=20120315
12-070205,DUI,8900 block of Pocket Rd,426,pages/view.aspx?publish_date=20120315
12-070373,Burglary,5800 block of Freeport Blvd,1047,pages/view.aspx?publish_date=20120315
12-071513,Barricaded Suspect,1200 block of Arcade Blvd,1336,pages/view.aspx?publish_date=20120316
12-071383,Traffic Stop,2600 block of Rio Linda Blvd,1114,pages/view.aspx?publish_date=20120316
12-071810,Theft,8300 block of Folsom Blvd,1813,pages/view.aspx?publish_date=20120316
12-072049,Hit and Run,20th St / K St,2312,pages/view.aspx?publish_date=20120316
12-072099,Home Invasion,7700 block of La Riviera Dr,30,pages/view.aspx?publish_date=20120316
12-071339,Burglary,3000 block of 6th Ave,1019,pages/view.aspx?publish_date=20120316
12-071031,Vandalism,2700 block of Sutterville Rd,2329,pages/view.aspx?publish_date=20120316
12-071984,Missing Person,2300 block of Mangrum Ave,2146,pages/view.aspx?publish_date=20120316
12-072148,Traffic Stop,Florin Rd / Freeport Blvd,225,pages/view.aspx?publish_date=20120316
12-072154,Suspicious Vehicle,5500 block of Mack Rd,244,pages/view.aspx?publish_date=20120316
12-072646,Traffic Stop,2800 block of Perktel St,1632,pages/view.aspx?publish_date=20120317
12-073137,Burglary,1800 block of Tribute Rd,218,pages/view.aspx?publish_date=20120317
12-073208,Sexual Assault,Goldenland Ct / Gateway Park Blvd,520,pages/view.aspx?publish_date=20120317
12-072191,Casualty,13th Ave / Stockton Blvd,449,pages/view.aspx?publish_date=20120317
12-072297,Stolen Vehicle,8th Ave / Martin Luther King Jr Blvd,945,pages/view.aspx?publish_date=20120317
12-072349,Assistance,3300 block of San Carlos Way,1059,pages/view.aspx?publish_date=20120317
12-072568,Sexual Assault,6400 block of Elder Creek Rd,1526,pages/view.aspx?publish_date=20120317
12-072582,Welfare Check,7th St / H St,1531,pages/view.aspx?publish_date=20120317
12-072598,Suspicious Circumstance,700 block of North B St,1542,pages/view.aspx?publish_date=20120317
12-072845,Warrant Arrest,300 block of Sandburg Dr,2010,pages/view.aspx?publish_date=20120317
12-073161,Suspicious Subject,Elder Creek Rd / Stockton Blvd,244,pages/view.aspx?publish_date=20120317
12-073149,Traffic Accident,10th St / K St,232,pages/view.aspx?publish_date=20120317
12-070590,Shoulder Tap Operation,City Wide,1434,pages/view.aspx?publish_date=20120317
12-072494,Burglary,3300 block of 24th St,1402,pages/view.aspx?publish_date=20120317
12-071984,Missing Person Located,2300 block of Mangrum Ave,2146,pages/view.aspx?publish_date=20120317
12-072671,Recovered Stolen Vehicle,7800 block of 14th Ave,1652,pages/view.aspx?publish_date=20120318
12-073484,Stolen Vehicle,6500 block of Blanche Dell Dr,1417,pages/view.aspx?publish_date=20120318
12-073498,Robbery,Stockton Blvd / Jansen Dr,1439,pages/view.aspx?publish_date=20120318
12-073695,Burglary,7800 block of Cucamonga Ave,1804,pages/view.aspx?publish_date=20120318
12-073876,Shooting,3400 block of 36th St,2123,pages/view.aspx?publish_date=20120318
12-073801,Suspicious Subject,9th St / K St,2011,pages/view.aspx?publish_date=20120318
12-073914,Assault,J St / 11th St,2153,pages/view.aspx?publish_date=20120318
12-073190,Suspicious Subject,4300 block of Stockton Blvd,402,pages/view.aspx?publish_date=20120318
12-074179,Homicide,700 block of 30th St,125,pages/view.aspx?publish_date=20120318
12-073227,Sexual Assault,Clipper Way/Riverside Blvd,637,pages/view.aspx?publish_date=20120318
12-074095,Homicide,1600 block of Meadowview Rd,10,pages/view.aspx?publish_date=20120318
12-074570,Subject Stop,Northgate Blvd / Arden Garden Connector,1528,pages/view.aspx?publish_date=20120319
12-074608,Suspicious Circumstance,3200 block of Paumanok Way,1619,pages/view.aspx?publish_date=20120319
12-074691,Domestic Violence,2900 block of Del Paso Blvd,1808,pages/view.aspx?publish_date=20120319
12-074799,Assault,1700 block of Glenrose Ave,2040,pages/view.aspx?publish_date=20120319
12-074958,Assault,3200 block of Gillespie St,51,pages/view.aspx?publish_date=20120319
12-074726,Subject Stop,22nd Ave / Martin Luther King Jr Blvd,1852,pages/view.aspx?publish_date=20120319
12-074930,Shooting,1200 block of L St,2357,pages/view.aspx?publish_date=20120319
12-075032,Robbery,2900 block of 65th St,548,pages/view.aspx?publish_date=20120319
12-074911,Burglary,6200 block of Hesby Way,2314,pages/view.aspx?publish_date=20120319
12-075028,Burglary,2200 block of Irvin Way,534,pages/view.aspx?publish_date=20120319
12-075377,Suspicious Subject,3500 block of Del Paso Rd,1447,pages/view.aspx?publish_date=20120320
12-075466,Disturbance,400 block of Jessie Ave,1644,pages/view.aspx?publish_date=20120320
12-075555,Shooting,3300 block of Green Branch Ct,1826,pages/view.aspx?publish_date=20120320
12-075730,Traffic Stop,Garden Hwy / I 5 Nb,2250,pages/view.aspx?publish_date=20120320
12-075775,Attempt Theft,3600 block of Natoma Way,2345,pages/view.aspx?publish_date=20120320
12-075078,Suspicious Subject,Clauss Ct/Lawrence Dr,808,pages/view.aspx?publish_date=20120320
12-075117,Subject Stop,Stockton Blvd / Jansen Dr,927,pages/view.aspx?publish_date=20120320
12-075295,Wanted Subject,400 block of I St,1258,pages/view.aspx?publish_date=20120320
12-075455,Suspicious Subject,4300 block of Martin Luther King Jr Blvd,1631,pages/view.aspx?publish_date=20120320
12-075672,Shooting,4800 block of 48th St,2112,pages/view.aspx?publish_date=20120320
12-075840,Burglary,5500 block of 21st Ave,425,pages/view.aspx?publish_date=20120320
12-075048,Burglary,1200 block of Lucio Ln,700,pages/view.aspx?publish_date=20120320
12-075190,Burglary,24th St / Florin Rd,1051,pages/view.aspx?publish_date=20120320
12-075269,Burglary,8500 block of Neopolitan Way,1232,pages/view.aspx?publish_date=20120320
12-075488,Burglary,5400 block of Crystal Hill Way,1712,pages/view.aspx?publish_date=20120320
12-075630,Attempt Assault,7500 block of Rubens Pkwy,2004,pages/view.aspx?publish_date=20120320
12-075637,Warrant Arrest,800 block of Shoreside Dr,2013,pages/view.aspx?publish_date=20120320
12-075795,Warrant Arrest,6800 block of Cherrywood Cir,50,pages/view.aspx?publish_date=20120320
12-075844,Burglary,2200 block of Irvin Way,504,pages/view.aspx?publish_date=20120320
12-075862,Suspicious Circumstance,2400 block of Northgate Blvd,609,pages/view.aspx?publish_date=20120321
12-076040,Domestic Dispute,900 block of Alamos Ave,1101,pages/view.aspx?publish_date=20120321
12-076057,Warrant Arrest,1700 block of Arden Way,1127,pages/view.aspx?publish_date=20120321
12-076121,Burglary,Del Paso Blvd / Edgewater Rd,1233,pages/view.aspx?publish_date=20120321
12-076591,Disturbance,1100 block of Roanoke Ave,1954,pages/view.aspx?publish_date=20120321
12-076662,Robbery,3500 block of Northgate Blvd,2137,pages/view.aspx?publish_date=20120321
12-076663,Shooting,3700 block of May St,2139,pages/view.aspx?publish_date=20120321
12-076690,Robbery,1600 block of Diesel Dr,2205,pages/view.aspx?publish_date=20120321
12-076824,Suspicious Subject,1600 block of Maring Way,139,pages/view.aspx?publish_date=20120321
12-076830,Burglary,4100 block of Norwood Ave,149,pages/view.aspx?publish_date=20120321
12-075933,Traffic Stop,Us 50 Eb / Watt Ave,849,pages/view.aspx?publish_date=20120321
12-075999,Burglary,2800 block of 42nd St,1010,pages/view.aspx?publish_date=20120321
12-076478,Sexual Assault,6200 block of Logan St,1739,pages/view.aspx?publish_date=20120321
12-076854,Traffic Stop,Southwest Ave / Nina Way,322,pages/view.aspx?publish_date=20120321
12-076064,Robbery,1700 block of 65th Ave,1133,pages/view.aspx?publish_date=20120321
12-076733,Warrant Arrest,Mack Rd / Center Pkwy,2312,pages/view.aspx?publish_date=20120321
12-076853,Traffic Stop,Mack Rd/Alta Valley,318,pages/view.aspx?publish_date=20120321
12-076885,Assault,2700 block of Rio Linda Blvd,646,pages/view.aspx?publish_date=20120322
12-077092,Suspicious Circumstance,2500 block of River Plaza Dr,1025,pages/view.aspx?publish_date=20120322
12-077620,Robbery,4100 block of Norwood Ave,2006,pages/view.aspx?publish_date=20120322
12-077803,Missing Person,500 block of Main Ave,19,pages/view.aspx?publish_date=20120322
12-077911,Burglary,2600 block of Rio Linda Blvd,454,pages/view.aspx?publish_date=20120322
12-076922,Suspicious Circumstance,3800 block of Martin Luther King Jr Blvd,743,pages/view.aspx?publish_date=20120322
12-077509,Suspicious Circumstance,60th St / M St,1738,pages/view.aspx?publish_date=20120322
12-077466,Disturbance,52nd St/Folsom Blvd,1701,pages/view.aspx?publish_date=20120322
12-077549,Robbery,200 block of Howe Ave,1837,pages/view.aspx?publish_date=20120322
12-077679,Assault,Jackson Rd / Folsom Blvd,2135,pages/view.aspx?publish_date=20120322
12-077866,Burglary,900 block of F St,215,pages/view.aspx?publish_date=20120322
12-076969,Disturbance,6600 block of Mack Rd,846,pages/view.aspx?publish_date=20120322
12-076991,Graffiti,800 block of Florin Rd,906,pages/view.aspx?publish_date=20120322
12-077600,Suspicious Circumstance,5300 block of Kevinberg Dr,1935,pages/view.aspx?publish_date=20120322
12-077623,Traffic Stop,Bamford Dr / Panos Ct,2014,pages/view.aspx?publish_date=20120322
12-077690,Hit and Run,1200 block of Florin Rd,2154,pages/view.aspx?publish_date=20120322
12-077791,Shooting,2900 block of Govan Way,3,pages/view.aspx?publish_date=20120322
12-077931,Burglary,1900 block of Delafield Way,645,pages/view.aspx?publish_date=20120323
12-078181,Hit and Run,4800 block of Marysville Blvd,1107,pages/view.aspx?publish_date=20120323
12-078390,Assault,3800 block of Ivy St,1409,pages/view.aspx?publish_date=20120323
12-078396,Assault,Grand Ave & Clay St,1416,pages/view.aspx?publish_date=20120323
12-079005,Vehicle Pursuit,Pinedale Ave / Dry Creek Rd,47,pages/view.aspx?publish_date=20120323
12-078302,Medical Aid,1100 block of 7th St,1257,pages/view.aspx?publish_date=20120323
12-078364,Assault,8300 block of Folsom Blvd,1341,pages/view.aspx?publish_date=20120323
12-078774,Suspicious Subject,C St / Lagomarsino Way,1950,pages/view.aspx?publish_date=20120323
12-078964,Robbery,4300 block of 12th Ave,2328,pages/view.aspx?publish_date=20120323
12-078910,Vandalism,2300 block of 60th St,2228,pages/view.aspx?publish_date=20120323
12-078462,Warrant Arrest,4300 block of Stockton Blvd,1503,pages/view.aspx?publish_date=20120323
12-077950,Suspicious Subject,1900 block of Rosehall Way,730,pages/view.aspx?publish_date=20120323
12-078048,Warrant Arrest,5700 block of Mack Rd,859,pages/view.aspx?publish_date=20120323
12-079759,Assault,400 block of El Camino Ave,1738,pages/view.aspx?publish_date=20120324
12-079392,Sexual Assault Report,4600 block of Blackrock Dr,1242,pages/view.aspx?publish_date=20120324
12-079921,Robbery,2500 block of New Market Dr,2009,pages/view.aspx?publish_date=20120324
12-079767,Subject Stop,W El Camino Ave / Truxel Rd,1748,pages/view.aspx?publish_date=20120324
12-080237,Robbery,1600 block of W El Camino Ave,19,pages/view.aspx?publish_date=20120324
12-079610,Suspicious Subject,500 block of L St,1537,pages/view.aspx?publish_date=20120324
12-079784,Traffic Accident,Alhambra Blvd / Granada Way,1759,pages/view.aspx?publish_date=20120324
12-079858,Warrant Arrest,7800 block of College Town Dr,1907,pages/view.aspx?publish_date=20120324
12-080337,Suspicious Occupied Vehicle,N 10th St / Bike Trail,313,pages/view.aspx?publish_date=20120324
12-079914,Domestic Violence,100 block of La Fresa Ct,2007,pages/view.aspx?publish_date=20120324
12-077094,DUI Check Point from 03/21/12,24th St / Florin Rd,1022,pages/view.aspx?publish_date=20120324
12-080540,Attempt Burglary,2700 block of Truxel Rd,1136,pages/view.aspx?publish_date=20120325
12-080684,Suspicious Circumstance,2400 block of Burberry Way,1456,pages/view.aspx?publish_date=20120325
12-080903,Traffic Stop,1200 block of Arcade Blvd,1917,pages/view.aspx?publish_date=20120325
12-081223,Traffic Stop,Pinell St / South Ave,155,pages/view.aspx?publish_date=20120325
12-081293,Burglary,700 block of Santiago Ave,455,pages/view.aspx?publish_date=20120325
12-080386,Burglary,900 block of W St,633,pages/view.aspx?publish_date=20120325
12-080406,Shooting,2800 block of L St,726,pages/view.aspx?publish_date=20120325
12-080673,Theft,Alhambra Blvd / Granada Way,1447,pages/view.aspx?publish_date=20120325
12-080820,Wanted Subject,5000 block of Bradford,1741,pages/view.aspx?publish_date=20120325
12-080996,Robbery,5200 block of Martin Luther King Jr Blvd,2130,pages/view.aspx?publish_date=20120325
12-081263,Robbery,900 block of 3rd St,313,pages/view.aspx?publish_date=20120325
12-081182,Burglary,I St / 16th St,100,pages/view.aspx?publish_date=20120325
12-081154,Shooting,6200 block of Ring Dr,23,pages/view.aspx?publish_date=20120325
12-081183,Fight,7800 block of 35th Ave,59,pages/view.aspx?publish_date=20120325
12-080522,Robbery,Center Pkwy / Hollybrook Dr,1059,pages/view.aspx?publish_date=20120325
12-080760,Burglary,7700 block of Dixie Lou St,1630,pages/view.aspx?publish_date=20120325
12-080861,Suicide,3900 block of Mack Rd,1824,pages/view.aspx?publish_date=20120325
12-080882,Subject Stop,36th Ave / Franklin Blvd,1851,pages/view.aspx?publish_date=20120325
12-080884,Felony Assault,5500 block of Mack Rd,1854,pages/view.aspx?publish_date=20120325
12-081246,Robbery,3900 block of E Pacific Ave,235,pages/view.aspx?publish_date=20120325
12-081026,Burglary,5200 block of Crystal Hill Way,2156,pages/view.aspx?publish_date=20120325
12-081087,Shooting,7700 block of Lytle St,2302,pages/view.aspx?publish_date=20120325
12-081363,Supsicious Circumstances,300 block of Graves Ave,914,pages/view.aspx?publish_date=20120326
12-081435,Shooting,2600 block of Stonecreek Dr,1139,pages/view.aspx?publish_date=20120326
12-081550,Shooting,1200 block of Helena Ave,1448,pages/view.aspx?publish_date=20120326
12-081574,Pursuit,Arena Blvd / Truxel Rd,1517,pages/view.aspx?publish_date=20120326
12-081772,Stolen Vehicle,San Juan Rd / Truxel Rd,1922,pages/view.aspx?publish_date=20120326
12-081843,Sexual Assault,6900 block of McQuillan,2113,pages/view.aspx?publish_date=20120326
12-081867,Robbery,1600 block of Del Paso Blvd,2146,pages/view.aspx?publish_date=20120326
12-081441,Theft,4000 block of 12th Ave,1143,pages/view.aspx?publish_date=20120326
12-081500,Disturbance,4800 block of Q St,1319,pages/view.aspx?publish_date=20120326
12-081731,Outside Agency Assist,6700 block of Bodine Cir,1832,pages/view.aspx?publish_date=20120326
12-081861,Subject Stop,1100 block of 34th Ave,2142,pages/view.aspx?publish_date=20120326
12-081992,Warrant Arrest,5500 block of Mack Rd,113,pages/view.aspx?publish_date=20120326
12-080501,Stolen Vehicle,2200 block of Marshall Way,1031,pages/view.aspx?publish_date=20120326
12-081953,Burglary,3600 block of 19th St,2355,pages/view.aspx?publish_date=20120326
12-082628,Shooting,2800 block of Bridgeford Dr,1913,pages/view.aspx?publish_date=20120327
12-082517,Disturbance,Barandas Dr / Orchard Ln,1642,pages/view.aspx?publish_date=20120327
12-082728,Disturbance,Northgate Blvd / Hwy 160 Eb,2204,pages/view.aspx?publish_date=20120327
12-082813,Shooting,2300 block of Cambridge St,2,pages/view.aspx?publish_date=20120327
12-082840,Suspicious Circumstance,200 block of Arrowrock Rd,53,pages/view.aspx?publish_date=20120327
12-082305,Suspicious Vehicle,79th St / Fruitridge Rd,1226,pages/view.aspx?publish_date=20120327
12-082660,Shooting,Folsom Blvd / Howe Ave,2005,pages/view.aspx?publish_date=20120327
12-082818,Traffic Stop,Wilkinson St / Fruitridge Rd,10,pages/view.aspx?publish_date=20120327
12-082858,Suspicious Vehicle,Elder Creek Rd / Cougar Dr,141,pages/view.aspx?publish_date=20120327
12-082859,Domestic Violence,4400 block of 65th St,139,pages/view.aspx?publish_date=20120327
12-082518,Burglary,7600 block of Addison Way,1645,pages/view.aspx?publish_date=20120327
